Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,015590,2010,05,15,23.4,1,Y
IDCJAC0010,015590,2010,05,16,22.3,1,Y
IDCJAC0010,015590,2010,05,17,21.6,1,Y
IDCJAC0010,015590,2010,05,18,21.3,1,Y
IDCJAC0010,015590,2010,05,19,21.4,1,Y
IDCJAC0010,015590,2010,05,20,14.9,1,Y
IDCJAC0010,015590,2010,05,21,20.2,1,Y
IDCJAC0010,015590,2010,05,22,22.6,1,Y
IDCJAC0010,015590,2010,05,23,27.5,1,Y
IDCJAC0010,015590,2010,05,24,27.9,1,Y
IDCJAC0010,015590,2010,05,25,22.9,1,Y
IDCJAC0010,015590,2010,05,26,22.0,1,Y
IDCJAC0010,015590,2010,05,27,21.7,1,Y
IDCJAC0010,015590,2010,05,28,23.5,1,Y
IDCJAC0010,015590,2010,05,29,19.4,1,Y
IDCJAC0010,015590,2010,05,30,17.2,1,Y
IDCJAC0010,015590,2010,05,31,18.2,1,Y
IDCJAC0010,015590,2010,06,01,20.9,1,Y
IDCJAC0010,015590,2010,06,02,19.9,1,Y
IDCJAC0010,015590,2010,06,03,18.4,1,Y
IDCJAC0010,015590,2010,06,04,18.6,1,Y
IDCJAC0010,015590,2010,06,05,18.7,1,Y
IDCJAC0010,015590,2010,06,06,17.8,1,Y
IDCJAC0010,015590,2010,06,07,17.7,1,Y
IDCJAC0010,015590,2010,06,08,18.5,1,Y
IDCJAC0010,015590,2010,06,09,18.5,1,Y
IDCJAC0010,015590,2010,06,10,16.9,1,Y
IDCJAC0010,015590,2010,06,11,16.2,1,Y
IDCJAC0010,015590,2010,06,12,14.9,1,Y
IDCJAC0010,015590,2010,06,13,16.2,1,Y
IDCJAC0010,015590,2010,06,14,16.4,1,Y
IDCJAC0010,015590,2010,06,15,17.5,1,Y
IDCJAC0010,015590,2010,06,16,23.9,1,Y
IDCJAC0010,015590,2010,06,17,25.2,1,Y
IDCJAC0010,015590,2010,06,18,23.2,1,Y
IDCJAC0010,015590,2010,06,19,18.2,1,Y
IDCJAC0010,015590,2010,06,20,19.1,1,Y
IDCJAC0010,015590,2010,06,21,20.5,1,Y
IDCJAC0010,015590,2010,06,22,21.0,1,Y
IDCJAC0010,015590,2010,06,23,21.7,1,Y
IDCJAC0010,015590,2010,06,24,25.7,1,Y
IDCJAC0010,015590,2010,06,25,21.1,1,Y
IDCJAC0010,015590,2010,06,26,18.2,1,Y
IDCJAC0010,015590,2010,06,27,16.4,1,Y
IDCJAC0010,015590,2010,06,28,16.8,1,Y
IDCJAC0010,015590,2010,06,29,20.4,1,Y
IDCJAC0010,015590,2010,06,30,11.6,1,Y
IDCJAC0010,015590,2010,07,01,9.3,1,Y
IDCJAC0010,015590,2010,07,02,14.3,1,Y
IDCJAC0010,015590,2010,07,03,14.8,1,Y
IDCJAC0010,015590,2010,07,04,15.5,1,Y
IDCJAC0010,015590,2010,07,05,9.6,1,Y
IDCJAC0010,015590,2010,07,06,7.0,1,Y
IDCJAC0010,015590,2010,07,07,8.8,1,Y
IDCJAC0010,015590,2010,07,08,16.4,1,Y
IDCJAC0010,015590,2010,07,09,22.0,1,Y
IDCJAC0010,015590,2010,07,10,21.2,1,Y
IDCJAC0010,015590,2010,07,11,17.7,1,Y
IDCJAC0010,015590,2010,07,12,26.8,1,Y
IDCJAC0010,015590,2010,07,13,19.2,1,Y
IDCJAC0010,015590,2010,07,14,16.0,1,Y
IDCJAC0010,015590,2010,07,15,16.9,1,Y
IDCJAC0010,015590,2010,07,16,17.4,1,Y
IDCJAC0010,015590,2010,07,17,18.6,1,Y
IDCJAC0010,015590,2010,07,18,22.6,1,Y
IDCJAC0010,015590,2010,07,19,16.1,1,Y
IDCJAC0010,015590,2010,07,20,15.9,1,Y
IDCJAC0010,015590,2010,07,21,14.6,1,Y
IDCJAC0010,015590,2010,07,22,15.6,1,Y
IDCJAC0010,015590,2010,07,23,16.1,1,Y
IDCJAC0010,015590,2010,07,24,17.0,1,Y
IDCJAC0010,015590,2010,07,25,18.1,1,Y
IDCJAC0010,015590,2010,07,26,18.9,1,Y
IDCJAC0010,015590,2010,07,27,25.0,1,Y
IDCJAC0010,015590,2010,07,28,28.2,1,Y
IDCJAC0010,015590,2010,07,29,29.6,1,Y
IDCJAC0010,015590,2010,07,30,21.9,1,Y
IDCJAC0010,015590,2010,07,31,17.0,1,Y
IDCJAC0010,015590,2010,08,01,18.0,1,Y
IDCJAC0010,015590,2010,08,02,15.4,1,Y
IDCJAC0010,015590,2010,08,03,14.9,1,Y
IDCJAC0010,015590,2010,08,04,16.5,1,Y
IDCJAC0010,015590,2010,08,05,15.4,1,Y
IDCJAC0010,015590,2010,08,06,15.9,1,Y
IDCJAC0010,015590,2010,08,07,21.0,1,Y
IDCJAC0010,015590,2010,08,08,22.5,1,Y
IDCJAC0010,015590,2010,08,09,18.3,1,Y
IDCJAC0010,015590,2010,08,10,16.3,1,Y
IDCJAC0010,015590,2010,08,11,17.0,1,Y
IDCJAC0010,015590,2010,08,12,18.6,1,Y
IDCJAC0010,015590,2010,08,13,23.9,1,Y
IDCJAC0010,015590,2010,08,14,23.9,1,Y
IDCJAC0010,015590,2010,08,15,19.4,1,Y
IDCJAC0010,015590,2010,08,16,21.3,1,Y
IDCJAC0010,015590,2010,08,17,26.0,1,Y
IDCJAC0010,015590,2010,08,18,29.3,1,Y
IDCJAC0010,015590,2010,08,19,21.1,1,Y
IDCJAC0010,015590,2010,08,20,19.3,1,Y
IDCJAC0010,015590,2010,08,21,24.7,1,Y
IDCJAC0010,015590,2010,08,22,26.8,1,Y
IDCJAC0010,015590,2010,08,23,20.2,1,Y
IDCJAC0010,015590,2010,08,24,15.6,1,Y
IDCJAC0010,015590,2010,08,25,12.3,1,Y
IDCJAC0010,015590,2010,08,26,16.9,1,Y
IDCJAC0010,015590,2010,08,27,18.2,1,Y
IDCJAC0010,015590,2010,08,28,18.3,1,Y
IDCJAC0010,015590,2010,08,29,19.8,1,Y
IDCJAC0010,015590,2010,08,30,20.3,1,Y
IDCJAC0010,015590,2010,08,31,27.0,1,Y
IDCJAC0010,015590,2010,09,01,31.0,1,Y
IDCJAC0010,015590,2010,09,02,27.5,1,Y
IDCJAC0010,015590,2010,09,03,24.2,1,Y
IDCJAC0010,015590,2010,09,04,19.2,1,Y
IDCJAC0010,015590,2010,09,05,18.9,1,Y
IDCJAC0010,015590,2010,09,06,20.6,1,Y
IDCJAC0010,015590,2010,09,07,27.5,1,Y
IDCJAC0010,015590,2010,09,08,32.1,1,Y
IDCJAC0010,015590,2010,09,09,28.2,1,Y
IDCJAC0010,015590,2010,09,10,20.7,1,Y
IDCJAC0010,015590,2010,09,11,25.3,1,Y
IDCJAC0010,015590,2010,09,12,19.9,1,Y
IDCJAC0010,015590,2010,09,13,28.6,1,Y
IDCJAC0010,015590,2010,09,14,20.7,1,Y
IDCJAC0010,015590,2010,09,15,18.6,1,Y
IDCJAC0010,015590,2010,09,16,11.6,1,Y
IDCJAC0010,015590,2010,09,17,15.1,1,Y
IDCJAC0010,015590,2010,09,18,12.6,1,Y
IDCJAC0010,015590,2010,09,19,15.7,1,Y
IDCJAC0010,015590,2010,09,20,18.5,1,Y
IDCJAC0010,015590,2010,09,21,19.1,1,Y
IDCJAC0010,015590,2010,09,22,20.7,1,Y
IDCJAC0010,015590,2010,09,23,22.3,1,Y
IDCJAC0010,015590,2010,09,24,22.2,1,Y
IDCJAC0010,015590,2010,09,25,26.0,1,Y
IDCJAC0010,015590,2010,09,26,26.0,1,Y
IDCJAC0010,015590,2010,09,27,28.2,1,Y
IDCJAC0010,015590,2010,09,28,30.1,1,Y
IDCJAC0010,015590,2010,09,29,23.0,1,Y
IDCJAC0010,015590,2010,09,30,25.2,1,Y
IDCJAC0010,015590,2010,10,01,29.2,1,Y
IDCJAC0010,015590,2010,10,02,32.7,1,Y
IDCJAC0010,015590,2010,10,03,34.1,1,Y
IDCJAC0010,015590,2010,10,04,34.9,1,Y
IDCJAC0010,015590,2010,10,05,28.5,1,Y
IDCJAC0010,015590,2010,10,06,19.6,1,Y
IDCJAC0010,015590,2010,10,07,18.0,1,Y
IDCJAC0010,015590,2010,10,08,21.1,1,Y
IDCJAC0010,015590,2010,10,09,23.4,1,Y
IDCJAC0010,015590,2010,10,10,26.5,1,Y
IDCJAC0010,015590,2010,10,11,30.6,1,Y
IDCJAC0010,015590,2010,10,12,30.2,1,Y
IDCJAC0010,015590,2010,10,13,27.4,1,Y
IDCJAC0010,015590,2010,10,14,23.9,1,Y
IDCJAC0010,015590,2010,10,15,17.6,1,Y
IDCJAC0010,015590,2010,10,16,19.2,1,Y
IDCJAC0010,015590,2010,10,17,20.3,1,Y
IDCJAC0010,015590,2010,10,18,22.1,1,Y
IDCJAC0010,015590,2010,10,19,23.8,1,Y
IDCJAC0010,015590,2010,10,20,25.1,1,Y
IDCJAC0010,015590,2010,10,21,29.1,1,Y
IDCJAC0010,015590,2010,10,22,31.7,1,Y
IDCJAC0010,015590,2010,10,23,32.7,1,Y
IDCJAC0010,015590,2010,10,24,31.2,1,Y
IDCJAC0010,015590,2010,10,25,23.6,1,Y
IDCJAC0010,015590,2010,10,26,25.7,1,Y
IDCJAC0010,015590,2010,10,27,28.6,1,Y
IDCJAC0010,015590,2010,10,28,32.1,1,Y
IDCJAC0010,015590,2010,10,29,30.8,1,Y
IDCJAC0010,015590,2010,10,30,20.2,1,Y
IDCJAC0010,015590,2010,10,31,18.1,1,Y
IDCJAC0010,015590,2010,11,01,21.5,1,Y
IDCJAC0010,015590,2010,11,02,23.6,1,Y
IDCJAC0010,015590,2010,11,03,26.7,1,Y
IDCJAC0010,015590,2010,11,04,27.1,1,Y
IDCJAC0010,015590,2010,11,05,28.6,1,Y
IDCJAC0010,015590,2010,11,06,32.0,1,Y
IDCJAC0010,015590,2010,11,07,34.9,1,Y
IDCJAC0010,015590,2010,11,08,34.1,1,Y
IDCJAC0010,015590,2010,11,09,32.7,1,Y
IDCJAC0010,015590,2010,11,10,33.9,1,Y
IDCJAC0010,015590,2010,11,11,35.5,1,Y
IDCJAC0010,015590,2010,11,12,33.1,1,Y
IDCJAC0010,015590,2010,11,13,30.1,1,Y
IDCJAC0010,015590,2010,11,14,30.8,1,Y
IDCJAC0010,015590,2010,11,15,32.4,1,Y
IDCJAC0010,015590,2010,11,16,21.3,1,Y
IDCJAC0010,015590,2010,11,17,26.3,1,Y
IDCJAC0010,015590,2010,11,18,28.0,1,Y
IDCJAC0010,015590,2010,11,19,29.6,1,Y
IDCJAC0010,015590,2010,11,20,30.6,1,Y
IDCJAC0010,015590,2010,11,21,32.0,1,Y
IDCJAC0010,015590,2010,11,22,33.8,1,Y
IDCJAC0010,015590,2010,11,23,35.5,1,Y
IDCJAC0010,015590,2010,11,24,35.2,1,Y
IDCJAC0010,015590,2010,11,25,35.1,1,Y
IDCJAC0010,015590,2010,11,26,30.9,1,Y
IDCJAC0010,015590,2010,11,27,29.6,1,Y
IDCJAC0010,015590,2010,11,28,25.2,1,Y
IDCJAC0010,015590,2010,11,29,25.8,1,Y
IDCJAC0010,015590,2010,11,30,28.2,1,Y
IDCJAC0010,015590,2010,12,01,29.4,1,Y
IDCJAC0010,015590,2010,12,02,32.6,1,Y
IDCJAC0010,015590,2010,12,03,35.0,1,Y
IDCJAC0010,015590,2010,12,04,32.4,1,Y
IDCJAC0010,015590,2010,12,05,33.8,1,Y
IDCJAC0010,015590,2010,12,06,37.4,1,Y
IDCJAC0010,015590,2010,12,07,39.4,1,Y
IDCJAC0010,015590,2010,12,08,38.3,1,Y
IDCJAC0010,015590,2010,12,09,36.3,1,Y
IDCJAC0010,015590,2010,12,10,23.9,1,Y
IDCJAC0010,015590,2010,12,11,29.6,1,Y
IDCJAC0010,015590,2010,12,12,32.4,1,Y
IDCJAC0010,015590,2010,12,13,34.5,1,Y
IDCJAC0010,015590,2010,12,14,37.0,1,Y
IDCJAC0010,015590,2010,12,15,38.0,1,Y
IDCJAC0010,015590,2010,12,16,34.1,1,Y
IDCJAC0010,015590,2010,12,17,34.6,1,Y
IDCJAC0010,015590,2010,12,18,30.7,1,Y
IDCJAC0010,015590,2010,12,19,28.8,1,Y
IDCJAC0010,015590,2010,12,20,29.5,1,Y
IDCJAC0010,015590,2010,12,21,30.3,1,Y
IDCJAC0010,015590,2010,12,22,33.0,1,Y
IDCJAC0010,015590,2010,12,23,33.9,1,Y
IDCJAC0010,015590,2010,12,24,35.2,1,Y
IDCJAC0010,015590,2010,12,25,36.3,1,Y
IDCJAC0010,015590,2010,12,26,37.8,1,Y
IDCJAC0010,015590,2010,12,27,31.1,1,Y
IDCJAC0010,015590,2010,12,28,34.7,1,Y
IDCJAC0010,015590,2010,12,29,38.2,1,Y
IDCJAC0010,015590,2010,12,30,38.8,1,Y
IDCJAC0010,015590,2010,12,31,38.0,1,Y
