Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,015590,1985,09,25.4,Y
IDCJAC0002,015590,1985,10,29.6,Y
IDCJAC0002,015590,1985,11,34.2,Y
IDCJAC0002,015590,1985,12,37.5,Y
IDCJAC0002,015590,1986,01,36.5,Y
IDCJAC0002,015590,1986,02,38.0,Y
IDCJAC0002,015590,1986,03,36.2,Y
IDCJAC0002,015590,1986,04,27.9,Y
IDCJAC0002,015590,1986,05,25.7,Y
IDCJAC0002,015590,1986,06,18.5,Y
IDCJAC0002,015590,1986,07,16.6,Y
IDCJAC0002,015590,1986,08,20.7,Y
IDCJAC0002,015590,1986,09,26.2,Y
IDCJAC0002,015590,1986,10,29.8,Y
IDCJAC0002,015590,1986,11,32.0,Y
IDCJAC0002,015590,1986,12,35.4,Y
IDCJAC0002,015590,1987,01,37.4,Y
IDCJAC0002,015590,1987,02,34.0,Y
IDCJAC0002,015590,1987,03,31.2,Y
IDCJAC0002,015590,1987,04,30.0,Y
IDCJAC0002,015590,1987,05,22.1,Y
IDCJAC0002,015590,1987,06,19.1,Y
IDCJAC0002,015590,1987,07,19.9,Y
IDCJAC0002,015590,1987,08,21.4,Y
IDCJAC0002,015590,1987,09,26.5,Y
IDCJAC0002,015590,1987,10,33.2,Y
IDCJAC0002,015590,1987,11,36.4,Y
IDCJAC0002,015590,1987,12,34.5,Y
IDCJAC0002,015590,1988,01,38.5,Y
IDCJAC0002,015590,1988,02,34.9,Y
IDCJAC0002,015590,1988,03,33.1,Y
IDCJAC0002,015590,1988,04,26.1,Y
IDCJAC0002,015590,1988,05,22.6,Y
IDCJAC0002,015590,1988,06,21.7,Y
IDCJAC0002,015590,1988,07,19.4,Y
IDCJAC0002,015590,1988,08,22.0,Y
IDCJAC0002,015590,1988,09,28.2,Y
IDCJAC0002,015590,1988,10,34.4,Y
IDCJAC0002,015590,1988,11,31.9,Y
IDCJAC0002,015590,1988,12,34.3,Y
IDCJAC0002,015590,1989,01,35.6,Y
IDCJAC0002,015590,1989,02,36.8,Y
IDCJAC0002,015590,1989,03,29.6,Y
IDCJAC0002,015590,1989,04,25.8,Y
IDCJAC0002,015590,1989,05,23.3,Y
